kehadiran_id,karyawan_id,tanggal,waktu_masuk,waktu_keluar,status_kehadiran,keterlambatan_menit,keterangan,nama,jabatan,departemen,tanggal_masuk,gaji_pokok,status_kepegawaian,email,nomor_telepon,durasi_jam,sanksi_potongan,bulan,tahun
1,1,2024-07-01,2024-07-01 08:10:00,2024-07-01 17:10:00,Hadir,0,Keterangan untuk Hadir,Dewi Santoso,Senior Staff,HR,2021-03-24,7429895,Probation,dewi.santoso@company.com,83342331444,0.0,0.0,July,2024
2,2,2024-07-01,2024-07-01 08:04:00,2024-07-01 17:07:00,Hadir,0,Keterangan untuk Hadir,Maya Prasetyo,Manager,IT,2020-04-08,19239227,Probation,maya.prasetyo@company.com,89703905715,0.0,0.0,July,2024
3,3,2024-07-01,2024-07-01 08:06:00,2024-07-01 17:02:00,Hadir,0,Keterangan untuk Hadir,Siti Prakoso,Staff,HR,2023-10-09,6697498,Tetap,siti.prakoso@company.com,87110082321,0.0,0.0,July,2024
4,4,2024-07-01,2024-07-01 08:14:00,2024-07-01 17:13:00,Hadir,0,Keterangan untuk Hadir,Rudi Hidayat,Supervisor,Finance,2020-02-13,10811315,Kontrak,rudi.hidayat@company.com,88934927891,0.0,0.0,July,2024
5,5,2024-07-01,0,0,Sakit,0,Keterangan untuk Sakit,Maya Hermawan,Manager,Marketing,2024-02-13,15661023,Probation,maya.hermawan@company.com,81298737106,0.0,0.0,July,2024
6,6,2024-07-01,2024-07-01 08:30:00,2024-07-01 17:22:00,Hadir,0,Keterangan untuk Hadir,Siti Hermawan,Manager,HR,2020-07-09,18803481,Probation,siti.hermawan@company.com,88877444318,0.0,0.0,July,2024
7,7,2024-07-01,0,0,Tanpa Keterangan,0,Keterangan untuk Tanpa Keterangan,Ahmad Wati,Senior Staff,HR,2022-12-22,9718057,Tetap,ahmad.wati@company.com,84131575764,0.0,0.0,July,2024
8,8,2024-07-01,2024-07-01 08:11:00,2024-07-01 17:09:00,Hadir,0,Keterangan untuk Hadir,Ahmad Kusuma,Staff,Finance,2024-04-22,5680070,Tetap,ahmad.kusuma@company.com,86649827836,0.0,0.0,July,2024
9,9,2024-07-01,2024-07-01 08:26:00,2024-07-01 17:13:00,Hadir,30,Keterangan untuk Hadir,Rudi Putri,Supervisor,Finance,2021-11-16,13318800,Probation,rudi.putri@company.com,82970753705,0.0,94190.0,July,2024
10,10,2024-07-01,2024-07-01 08:25:00,2024-07-01 17:19:00,Hadir,0,Keterangan untuk Hadir,Rudi Hidayat,Supervisor,Finance,2024-07-19,13350414,Kontrak,rudi.hidayat@company.com,85284391408,0.0,0.0,July,2024
11,11,2024-07-01,2024-07-01 08:08:00,2024-07-01 17:13:00,Hadir,0,Keterangan untuk Hadir,Doni Kusuma,Manager,IT,2020-03-21,16342026,Probation,doni.kusuma@company.com,85567816720,1.0,0.0,July,2024
12,12,2024-07-01,2024-07-01 08:21:00,2024-07-01 17:21:00,Hadir,0,Keterangan untuk Hadir,Eko Anggraini,Staff,Finance,2024-01-22,6511463,Tetap,eko.anggraini@company.com,88047877267,0.0,0.0,July,2024
13,13,2024-07-01,2024-07-01 08:26:00,2024-07-01 17:14:00,Hadir,0,Keterangan untuk Hadir,Dewi Hermawan,Staff,HR,2023-01-24,6836796,Probation,dewi.hermawan@company.com,84919706735,0.0,0.0,July,2024
14,14,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:29:00,Hadir,17,Keterangan untuk Hadir,Rudi Prakoso,Supervisor,HR,2022-03-18,14448929,Tetap,rudi.prakoso@company.com,87867414708,0.0,0.0,July,2024
15,15,2024-07-01,2024-07-01 08:00:00,2024-07-01 17:02:00,Hadir,0,Keterangan untuk Hadir,Linda Santoso,Manager,Finance,2022-04-02,17020577,Probation,linda.santoso@company.com,85067116918,0.0,0.0,July,2024
16,16,2024-07-01,2024-07-01 08:14:00,2024-07-01 17:05:00,Hadir,0,Keterangan untuk Hadir,Dewi Kusuma,Manager,HR,2021-11-16,19612086,Tetap,dewi.kusuma@company.com,86633778586,0.0,0.0,July,2024
17,17,2024-07-01,0,0,Sakit,0,Keterangan untuk Sakit,Nina Kusuma,Staff,IT,2021-04-03,5709016,Tetap,nina.kusuma@company.com,81945826486,2.0,0.0,July,2024
