karyawan_id,nama,departemen,jabatan,gaji_pokok,status_kepegawaian,bulan,tahun,total_hari_hadir,total_keterlambatan,total_jam_lembur,total_potongan,total_bonus
1,Fajar Rahayu,Finance,Manager,15859791,Probation,April,2025,26,89,11,0,2643046
1,Fajar Rahayu,Finance,Manager,15859791,Probation,December,2024,26,144,4,400319,4691869
1,Fajar Rahayu,Finance,Manager,15859791,Probation,January,2025,27,35,8,0,5456105
1,Fajar Rahayu,Finance,Manager,15859791,Probation,June,2025,26,56,3,0,4894053
1,Fajar Rahayu,Finance,Manager,15859791,Probation,May,2025,23,85,9,0,9618147
2,Hendra Sari,IT,Manager,19239227,Probation,August,2024,27,40,11,0,1798248
2,Hendra Sari,IT,Manager,19239227,Probation,February,2025,26,118,7,625794,4000017
2,Hendra Sari,IT,Manager,19239227,Probation,January,2025,26,7,4,0,2881720
2,Hendra Sari,IT,Manager,19239227,Probation,July,2024,24,45,10,297380,8890050
2,Hendra Sari,IT,Manager,19239227,Probation,March,2025,26,6,1,0,7814885
2,Hendra Sari,IT,Manager,19239227,Probation,May,2025,25,94,0,0,9583665
2,Hendra Sari,IT,Manager,19239227,Probation,November,2024,25,113,7,0,3134241
2,Hendra Sari,IT,Manager,19239227,Probation,October,2024,26,140,3,0,9714542
3,Eko Kartika,HR,Staff,6697498,Tetap,August,2024,26,103,12,0,4609000
3,Eko Kartika,HR,Staff,6697498,Tetap,January,2025,26,102,1,381444,2787057
3,Eko Kartika,HR,Staff,6697498,Tetap,July,2024,25,51,8,0,7630130
3,Eko Kartika,HR,Staff,6697498,Tetap,June,2025,26,87,10,370850,9135829
3,Eko Kartika,HR,Staff,6697498,Tetap,March,2025,23,64,7,0,4414847
3,Eko Kartika,HR,Staff,6697498,Tetap,May,2025,25,42,15,220312,3304571
3,Eko Kartika,HR,Staff,6697498,Tetap,November,2024,27,85,5,383950,5696379
3,Eko Kartika,HR,Staff,6697498,Tetap,October,2024,26,48,13,838705,1026333
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,April,2025,26,110,1,0,4535421
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,December,2024,25,173,7,0,5949644
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,January,2025,25,95,8,0,6004501
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,July,2024,21,38,4,0,3117021
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,June,2025,26,66,17,540680,8924476
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,May,2025,25,82,3,157744,7433058
4,Doni Hermawan,Finance,Supervisor,10811315,Kontrak,September,2024,26,52,8,0,1791301
5,Wulan Prakoso,Marketing,Manager,15661023,Probation,April,2025,28,36,5,0,1496035
5,Wulan Prakoso,Marketing,Manager,15661023,Probation,December,2024,24,80,13,0,4526837
5,Wulan Prakoso,Marketing,Manager,15661023,Probation,February,2025,23,143,14,0,5320387
5,Wulan Prakoso,Marketing,Manager,15661023,Probation,January,2025,27,120,7,295789,1533505
5,Wulan Prakoso,Marketing,Manager,15661023,Probation,June,2025,26,104,7,108394,2487050
5,Wulan Prakoso,Marketing,Manager,15661023,Probation,September,2024,26,78,0,210640,4940255
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,April,2025,24,86,7,481088,8613520
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,August,2024,27,57,10,0,8850084
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,January,2025,28,142,7,0,8351882
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,July,2024,25,28,6,82850,4594498
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,June,2025,24,55,12,0,2044872
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,March,2025,20,3,7,190901,4655799
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,May,2025,27,118,13,0,2881705
6,Ayu Kusuma,IT,Senior Staff,8165905,Kontrak,November,2024,27,128,7,245630,5021420
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,April,2025,23,106,6,750791,6656804
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,August,2024,28,141,3,0,6696715
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,December,2024,27,71,11,974366,2456683
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,January,2025,23,33,9,885915,5170456
7,Fitri Nugroho,Finance,Supervisor,10598967,Probation,July,2024,26,74,8,346015,7552183
